,Ticker_ID,Comment_Frequency,Upvotes
1078,TSE,2,21
888,BEAT,1,21
912,O.O,1,21
393,GAIN,1,21
390,YHE,1,21
834,MINE,1,21
1097,HEA,1,20
133,DIK,2,20
740,EKG,2,20
901,AM-,1,20
346,MEDS,2,20
424,BAE,1,20
894,YORK,1,20
628,UPS,2,20
674,MEOW,1,20
143,ROTH,2,20
1103,LERS,1,20
1039,PATH,1,20
249,UFO,2,20
1145,RACE,1,20
1095,XXX,1,20
1088,GOUR,1,20
1148,FDX,2,19
1064,BYND,1,19
425,🚀💎BB,1,19
548,P100,1,19
1048,FRID,1,19
1089,🌊🌊👁V,2,19
1072,300M,1,19
232,DNA,2,19
957,SDNL,1,19
782,MAX,2,19
662,CCP,2,19
267,EDI,1,19
1098,FINI,1,19
659,AYYY,1,19
966,LUCK,1,19
566,STAT,2,19
973,BTC,1,18
771,BUS,1,18
902,WOU,1,18
913,FLEW,1,18
496,GEY,2,18
821,DIC,1,18
953,SNES,1,18
693,GEVO,2,18
557,FRAD,1,18
268,ASF,1,18
845,T-1,1,18
1040,WEEE,1,18
186,LFGO,2,18
1141,STEE,1,18
356,GILT,1,18
676,OOD,1,18
1106,KILL,1,18
571,FOOD,2,18
1049,GIFT,1,17
465,SHA,1,17
934,AVG,1,17
536,SIDE,2,17
1125,UNIV,1,17
1042,CNET,1,17
1041,SMUG,1,17
697,APXT,1,17
1104,20B,1,17
280,IRL,2,17
835,700K,1,17
358,BARK,1,17
380,🍌🍌BB,1,17
841,THO,1,17
179,URL,1,17
1147,LITE,1,17
304,DEC,1,17
1143,AT🔥,1,17
648,WPM,1,17
761,FEA,1,17
395,HITI,1,17
576,VAN,2,16
63,WMT,2,16
808,WRAP,1,16
603,GOLD,1,16
114,NOWW,1,16
1117,AIDE,1,16
914,HON,1,16
516,LUV,2,16
694,MSTR,2,16
401,70C,1,16
959,DFW,1,16
700,WASO,2,16
1043,ZERO,1,16
713,140C,2,16
365,LOTZ,1,16
745,TLT,1,16
1134,HOUS,1,16
1133,UBI,1,16
433,💎BB💎,1,16
762,BOAT,1,16
974,YALA,1,16
967,CRON,1,16
1105,PAPE,1,16
462,SURE,1,16
456,MGM,2,16
807,2PM,1,15
321,BUSS,1,15
309,CL🍀V,1,15
1073,SRPT,1,15
382,PAA,1,15
720,WTH,2,15
530,ETH,2,15
829,FORM,2,15
1111,ME\,1,15
199,THRU,1,15
939,ARKW,2,15
847,EMM,1,15
113,SI\,1,15
1131,TDOC,2,15
903,9AM,1,15
859,SHOP,1,15
1074,👁️V,1,15
1075,17C,1,14
863,TING,1,14
937,CCI,1,14
1050,WHI,1,14
1051,TEH,1,14
1052,COP,1,14
899,UAL,1,14
370,HIDE,1,14
960,NXT,1,14
386,BB2,1,14
400,BBQ,1,14
879,29C,1,14
1082,THOT,1,14
883,AMCX,1,14
427,HEAT,1,14
975,GEN,1,14
969,BEAM,1,14
895,BETT,1,14
968,556M,1,14
958,NDL,1,14
140,LAZY,1,14
874,MOD,1,14
